2.2214,3.9584,0.44547,0.75391,1.5697,2.0442
3.0684,9.4183,1.3443,3.1717,0.033093,2.2318
3.1584,3.2171,0.27914,2.0385,0.29148,4.662
5.5029,11.053,1.8867,2.801,0.91255,2.0895
3.2533,6.0708,0.59905,1.8997,0.82807,2.1989
4.2773,6.4481,0.99684,2.4816,1.8348,2.7711
2.158,2.9818,0.52837,0.72896,0.70528,1.327
1.6818,4.7606,0.24417,2.492,-0.060595,1.6685
2.9793,8.8254,0.74127,1.5265,1.3449,1.4292
6.6712,11.342,0.26811,1.6328,1.261,2.2143
5.7024,6.1392,0.5597,1.227,3.4865,2.5798
4.6648,10.519,0.69081,2.1286,2.3921,1.4432
3.6265,7.1064,0.58669,2.1678,1.5886,1.8721
7.8926,10.414,0.64941,1.9351,2.0716,4.4722
4.508,8.5677,0.93726,2.4076,0.75291,3.2633
0.59739,3.3693,1.357,1.6199,-0.7528,1.298
3.5654,5.4064,0.68696,1.2782,2.1187,1.8012
1.1107,4.8068,0.75806,1.4484,1.1281,0.55835
5.06,9.2042,0.73217,2.003,2.597,2.3729
4.3714,7.0415,0.58813,0.66471,2.0068,2.4066
4.2189,9.2112,1.2982,3.0226,1.8477,1.9735
2.5152,3.4718,0.99464,1.1695,0.65475,2.3294
5.7863,9.6168,1.0929,2.0203,1.8794,3.7061
4.3412,9.0691,0.57236,2.5252,0.60568,2.2873
4.1122,8.6115,2.4032,1.6072,1.2708,2.898
3.9443,7.3402,1.657,0.70426,0.93555,2.2884
1.791,5.526,1.498,1.5102,1.3248,0.85418
5.7432,8.1513,0.91583,1.7958,3.345,3.4008
2.9912,7.5476,1.2628,2.9998,0.85596,2.2425
1.2622,4.0143,0.95111,2.5883,0.59911,0.34273
5.6452,10.769,1.416,2.8197,2.3155,2.7174
2.4731,2.1502,0.42364,0.40058,0.3265,2.4623
-0.099399,0.35242,0.019802,1.5009,0.96485,0.08517
-0.061944,3.0702,1.8217,2.1199,-0.23395,1.1723
2.5535,1.0907,-0.28111,1.7626,1.3203,2.2092
5.4912,12.384,1.8247,3.6299,1.5149,2.8715
4.5178,7.965,0.91928,2.2027,1.5694,3.9341
1.398,3.3926,0.73938,2.0102,0.99598,2.0784
5.4454,11.23,1.6979,2.7164,1.6118,2.2687
1.4292,1.5249,0.46789,1.3394,0.50983,1.7989
1.069,4.8129,1.5519,2.2943,-0.72718,1.9862
0.32506,3.4639,1.6891,1.6912,0.44271,-0.32501
3.5906,7.2177,1.0397,2.2681,1.8021,1.7217
6.5845,9.0567,0.36463,1.7947,2.5039,3.7399
4.7244,6.407,1.1804,1.367,1.9197,2.8319
1.1964,3.9811,1.4142,1.4006,0.44275,2.1682
4.2372,5.3499,0.46192,0.81567,1.3487,2.9582
1.5804,2.43,-0.32424,0.54612,-0.08851,1.3878
2.8872,6.6753,0.87455,1.8202,1.6006,0.39023
6.2388,10.521,1.1182,2.0545,1.413,4.0068
-1.2663,-0.29646,0.85179,0.98175,-0.52429,0.76634
1.6438,5.9238,1.5602,2.6424,0.68888,0.80209
3.4241,5.226,1.242,1.774,2.6368,2.2599
-0.67614,0.78834,-0.27321,2.8512,-1.0025,1.1899
1.8794,4.2631,0.28384,2.1067,0.34387,1.4475
2.4559,6.9001,1.0557,1.8558,-0.572,1.4342
1.5491,4.3556,1.7842,1.7919,-0.05108,1.5825
1.0118,3.2615,0.22173,1.6565,-0.6538,1.2489
3.1939,7.2399,1.0773,3.1943,1.3694,3.1698
2.3169,5.6667,0.87372,1.3587,0.06382,1.5983
4.589,6.5566,1.4311,1.6256,1.0983,3.0195
1.8496,4.5305,1.3537,1.2946,1.6303,2.0352
2.876,6.2318,1.5941,1.2091,0.67852,1.521
2.3639,6.2342,1.2515,1.5182,1.6277,2.3162
3.6426,8.3132,0.35551,2.7708,0.78837,2.3462
3.2348,4.463,-0.17755,1.3198,0.71198,2.135
1.7876,2.96,0.64364,2.0203,1.3421,2.6685
4.3207,9.36,1.5079,4.2737,1.9797,2.0545
3.6961,5.8837,2.0629,1.1863,0.65732,3.3936
8.374,14.963,2.0223,2.2158,2.6472,3.7213
-0.096278,4.138,1.3859,3.464,-0.24425,0.034166
-1.1735,2.8524,1.0684,2.2094,-1.1247,-0.036725
1.8787,4.151,0.32931,2.1354,1.2255,0.46732
-0.42883,3.5097,1.0917,1.9582,-1.3211,0.46534
-4.3533,-2.5497,0.89982,1.6687,-1.8975,-0.43791
1.871,6.1628,2.7345,2.9596,0.83786,1.4412
4.3755,3.9727,0.082032,0.93746,1.1143,3.6799
3.4145,5.4801,0.47822,1.0992,0.58099,2.2219
3.1913,2.9561,-0.38021,0.32241,0.63957,2.5427
2.8189,5.7148,0.50842,2.5835,1.4545,1.5649
1.4093,7.8525,1.7931,3.2308,0.52249,2.5036
